Geocode Address,Geocode Street,Case Number,Occurred From Date Year,Occurred From Date Month,Occurred From Time,Occurred From Timestamp,Occurred Through Date Year,Occurred Through Date Month,Occurred Through Time,Occurred Through Timestamp,Reported Date Year,Reported Date Month,Reported Time,Reported Timestamp,Address StreetFull,Address City,Address State,Patrol Beat,Patrol Section,Case Status,Statute Title,Statute Section,Statute Subsection,Statute Degree,Statute Class,Statute Category,Statute Text,Statute Description,Statute Crime Category,Statute Attempted,Weapon Description,Larceny Type,Location Type,Geo Beat,Geo Section,Geo Section Num
"147 Fifth St, Rochester, NY, 14605",147 FIFTH ST,2018-00214044,2018,8,0237,"8/30/2018, 10:37 PM",2018,8,0237,"8/30/2018, 10:37 PM",2018,8,0237,"8/31/2018, 2:37 AM",147 FIFTH ST,Rochester,NY,297,Clinton,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,297,Clinton,7
"328 North St, Rochester, NY, 14605",328 NORTH ST,2018-00247341,2018,10,0159,"10/5/2018, 9:59 PM",2018,10,0159,"10/5/2018, 9:59 PM",2018,10,0209,"10/6/2018, 2:09 AM",328 NORTH ST,Rochester,NY,287,Clinton,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Semiautomatic Handgun,* No Larceny Type Specified *,Bar,287,Clinton,7
"12 Lime St, Rochester, NY, 14606",12 LIME ST,2018-00235435,2018,9,1435,"9/22/2018, 10:35 AM",2018,9,1435,"9/22/2018, 10:35 AM",2018,9,1435,"9/22/2018, 2:35 PM",12 LIME ST,Rochester,NY,291,Lake,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Yard,291,Lake,1
"111 East Ave, Rochester, NY, 14604",111 EAST AVE,2018-00225563,2018,9,1200,"9/12/2018, 8:00 AM",2018,9,1210,"9/12/2018, 8:10 AM",2018,9,1207,"9/12/2018, 12:07 PM",111 EAST AVE,Rochester,NY,219,Central,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Semiautomatic Handgun,* No Larceny Type Specified *,Multiple Dwelling,219,Central,9
"89 Karnes St, Rochester, NY, 14606",89 KARNES ST,2018-00261702,2018,10,1609,"10/23/2018, 12:09 PM",2018,10,1609,"10/23/2018, 12:09 PM",2018,10,1609,"10/23/2018, 4:09 PM",89 KARNES ST,Rochester,NY,261,Lake,Office,PL ,120.05   ,01    ,2,D,F,Aggravated Assault,Assault 2nd: With Intent To Cause Serious Physical Injury   ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Single Family Home,261,Lake,1
"545 North St, Rochester, NY, 14605",545 NORTH ST,2018-00228489,2018,9,0822,"9/15/2018, 4:22 AM",2018,9,0822,"9/15/2018, 4:22 AM",2018,9,0822,"9/15/2018, 8:22 AM",545 NORTH ST,Rochester,NY,287,Clinton,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Unknown,287,Clinton,7
"111 Myrtle St, Rochester, NY, 14606",111 MYRTLE ST,2018-00260636,2018,10,1022,"10/22/2018, 6:22 AM",2018,10,1022,"10/22/2018, 6:22 AM",2018,10,1022,"10/22/2018, 10:22 AM",111 MYRTLE ST,Rochester,NY,261,Lake,Field,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,261,Lake,1
"857 Jay St, Rochester, NY, 14611",857 JAY ST,2018-00249530,2018,10,2227,"10/9/2018, 6:27 PM",2018,10,2227,"10/9/2018, 6:27 PM",2018,10,2227,"10/9/2018, 10:27 PM",857 JAY ST,Rochester,NY,291,Lake,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,291,Lake,1
"120 Parkway, Rochester, NY, 14608",120 PARKWAY,2018-00239590,2018,9,0155,"9/26/2018, 9:55 PM",2018,9,0155,"9/26/2018, 9:55 PM",2018,9,0155,"9/27/2018, 1:55 AM",120 PARKWAY,Rochester,NY,271,Lake,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,271,Lake,1
"214 Parsells Ave, Rochester, NY, 14609",214 PARSELLS AVE,2018-00221658,2018,9,2245,"9/8/2018, 6:45 PM",2018,9,2245,"9/8/2018, 6:45 PM",2018,9,2245,"9/8/2018, 10:45 PM",214 PARSELLS AVE,Rochester,NY,215,Goodman,Exceptional Clearance,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,215,Goodman,5
"680 Brown St, Rochester, NY, 14611",680 BROWN ST,2018-00237712,2018,9,0245,"9/24/2018, 10:45 PM",2018,9,0245,"9/24/2018, 10:45 PM",2018,9,0250,"9/25/2018, 2:50 AM",680 BROWN ST,Rochester,NY,213,Genesee,Exceptional Clearance,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Blunt Object,* No Larceny Type Specified *,Multiple Dwelling,213,Genesee,3
"15 Savannah St, Rochester, NY, 14607",15 SAVANNAH ST,2018-00255670,2018,10,2300,"10/15/2018, 7:00 PM",2018,10,0549,"10/16/2018, 1:49 AM",2018,10,0549,"10/16/2018, 5:49 AM",15 SAVANNAH ST,Rochester,NY,219,Central,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Unknown,* No Larceny Type Specified *,Unknown,219,Central,9
"424 Jefferson Ave, Rochester, NY, 14608",424 JEFFERSON AVE,2018-00256217,2018,10,1855,"10/16/2018, 2:55 PM",2018,10,1855,"10/16/2018, 2:55 PM",2018,10,1855,"10/16/2018, 6:55 PM",424 JEFFERSON AVE,Rochester,NY,233,Genesee,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,233,Genesee,3
"29 Woodlawn St, Rochester, NY, 14607",29 WOODLAWN ST,2018-00247356,2018,10,0215,"10/5/2018, 10:15 PM",2018,10,0240,"10/5/2018, 10:40 PM",2018,10,0240,"10/6/2018, 2:40 AM",29 WOODLAWN ST,Rochester,NY,265,Goodman,Office,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Semiautomatic Handgun,* No Larceny Type Specified *,Street,265,Goodman,5
"155 Conkey Ave, Rochester, NY, 14621",155 CONKEY AVE,2018-00236779,2018,9,0610,"9/24/2018, 2:10 AM",2018,9,0610,"9/24/2018, 2:10 AM",2018,9,0613,"9/24/2018, 6:13 AM",155 CONKEY AVE,Rochester,NY,247,Clinton,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,247,Clinton,7
"60 St Paul St, Rochester, NY, 14604",60 ST PAUL ST,2018-00258614,2018,10,1535,"10/19/2018, 11:35 AM",2018,10,1615,"10/19/2018, 12:15 PM",2018,10,1615,"10/19/2018, 4:15 PM",60 ST PAUL ST,Rochester,NY,219,Central,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Building,219,Central,9
"193 Genesee St, Rochester, NY, 14611",193 GENESEE ST,2018-00261540,2018,10,1242,"10/23/2018, 8:42 AM",2018,10,1245,"10/23/2018, 8:45 AM",2018,10,1245,"10/23/2018, 12:45 PM",193 GENESEE ST,Rochester,NY,223,Genesee,Field,PL ,120.05   ,01    ,2,D,F,Aggravated Assault,Assault 2nd: With Intent To Cause Serious Physical Injury   ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Outside Location,223,Genesee,3
"248 First St, Rochester, NY, 14605",248 FIRST ST,2018-00228857,2018,9,1710,"9/15/2018, 1:10 PM",2018,9,1710,"9/15/2018, 1:10 PM",2018,9,1710,"9/15/2018, 5:10 PM",248 FIRST ST,Rochester,NY,267,Clinton,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,267,Clinton,7
"248 First St, Rochester, NY, 14605",248 FIRST ST,2018-00228857,2018,9,1710,"9/15/2018, 1:10 PM",2018,9,1710,"9/15/2018, 1:10 PM",2018,9,1710,"9/15/2018, 5:10 PM",248 FIRST ST,Rochester,NY,267,Clinton,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,267,Clinton,7
"27 Diringer Pl, Rochester, NY, 14609",27 DIRINGER PL,2018-00242268,2018,9,0043,"9/29/2018, 8:43 PM",2018,9,0043,"9/29/2018, 8:43 PM",2018,9,0043,"9/30/2018, 12:43 AM",27 DIRINGER PL,Rochester,NY,215,Goodman,Exceptional Clearance,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,215,Goodman,5
"4 Elser Ter, Rochester, NY, 14611",4 ELSER TER,2018-00224040,2018,9,1935,"9/10/2018, 3:35 PM",2018,9,1941,"9/10/2018, 3:41 PM",2018,9,1941,"9/10/2018, 7:41 PM",4 ELSER TER,Rochester,NY,203,Genesee,Warrant Application,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Blunt Object,* No Larceny Type Specified *,Other Outside Location,203,Genesee,3
"3 Brooklyn St, Rochester, NY, 14613",3 BROOKLYN ST,2018-00220146,2018,9,1800,"9/5/2018, 2:00 PM",2018,9,2200,"9/5/2018, 6:00 PM",2018,9,1605,"9/6/2018, 4:05 PM",3 BROOKLYN ST,Rochester,NY,251,Lake,Office,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Yard,251,Lake,1
"537 Dewey Ave, Rochester, NY, 14613",537 DEWEY AVE,2018-00230685,2018,9,1630,"9/17/2018, 12:30 PM",2018,9,1635,"9/17/2018, 12:35 PM",2018,9,1700,"9/17/2018, 5:00 PM",537 DEWEY AVE,Rochester,NY,241,Lake,Exceptional Clearance,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Other Weapon,* No Larceny Type Specified *,Street,241,Lake,1
